courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
17,,,,,-,Algorithm and Complexity,-,Course,-,Understanding,-,,-
17,0,,,,-,Objective,-,Course objective,-,Understanding,-,,-
17,0,1,,,-,Obj1,-,Course objective,-,Understanding,-,"Student can explain the following concepts: complexity measures, complexity classes, optimization algorithms, dynamic programming, greedy algorithms, reductions, complex problems.",-
17,0,2,,,-,Obj2,-,Course objective,-,Understanding,-,The student can determine the time complexity of a given algorithm.,-
17,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,The student can design an algorithm with a predetermined upper bound for a given problem.,-
17,0,4,,,-,Obj4,-,Course objective,-,Understanding,-,The student can design an algorithm in one of the three optimization strategies discussed.,-
17,0,5,,,-,Obj5,-,Course objective,-,Understanding,-,The student can analyze a network problem and translate it from a given problem into a network problem.,-
17,0,6,,,,Obj6,,Course objective,,Understanding,,The student can apply Discrete Fourier Transform to practical examples.,-
17,0,7,,,,Obj7,,Course objective,,Understanding,,The student can translate a problem into another problem through time-bounded reduction.,-
17,0,8,,,,Obj8,,Course objective,,Understanding,,"The student can analyze algorithmic properties of a problem (for example: requires exhaustive search over a large domain, or is bounded by constant space) on the basis of which predictions can be made about the (im)possibility of designing efficient algorithms.",-
17,1,,,,-,Algorithmic Techniques,-,Algorithmic Techniques,-,Understanding,-,,-
17,1,1,,,-,Recursion,-,Algorithmic Techniques,-,Understanding,-,A technique where a function calls itself in order to solve smaller instances of the same problem.,-
17,1,1,1,,-,Divide and Conquer,-,Algorithmic Techniques,-,Understanding,-,"Divides a problem into smaller subproblems, solves each subproblem independently, and then combines the solutions.",-
17,1,1,1,1,-,Binary search,-,Algorithmic Techniques,-,Understanding,-,An efficient search algorithm for finding a target value within a sorted array by repeatedly dividing the search interval in half.,-
17,1,1,1,2,-,Mergesort,-,Algorithmic Techniques,-,Understanding,-,"A sorting algorithm that follows the divide and conquer strategy by recursively dividing the array into halves, sorting each half, and then merging the sorted halves.",-
17,1,1,1,3,-,Quicksort,-,Algorithmic Techniques,-,Understanding,-,A sorting algorithm that uses the divide and conquer strategy by partitioning the array into smaller subarrays based on a pivot element and recursively sorting each subarray.,-
17,1,1,1,4,-,Matrix multiplication,-,Algorithmic Techniques,-,Understanding,-,A mathematical operation that computes the product of two matrices.,-
17,1,1,1,5,-,Karatsuba Multiplication,-,Algorithmic Techniques,-,Understanding,-,An algorithm for fast multiplication of large numbers using a divide and conquer approach.,-
17,1,1,1,6,-,Fast Fourier Transform,-,Algorithmic Techniques,-,Understanding,-,An efficient algorithm for computing the discrete Fourier transform and its inverse.,-
