courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,,,,,-,Discrete Math,-,Course,-,Understanding,-,,-
3,0,,,,-,Objective,-,Course objective,-,Understanding,-,,-
3,0,1,,,-,Obj1,-,Course objective,-,Understanding,-,"Students can explain what an argument is, what it looks like, what it means for an argument to be logically valid, and the relationship between logical validity, evidence, and counterexamples.",-
3,0,2,,,-,Obj2,-,Course objective,-,Understanding,-,Students can use formal calculi to find proofs and perform calculations.,-
3,0,3,,,-,Obj3,-,Course objective,-,Understanding,-,Students can analyze given models using mathematical means.,-
3,0,4,,,-,Obj4,-,Course objective,-,Understanding,-,Students can determine whether a proof is valid.,-
3,0,5,,,-,Obj5,-,Course objective,-,Understanding,-,Students can model situations and properties using mathematical tools.,-
3,0,6,,,,Obj6,,Course objective,-,Understanding,-,Students can independently prove simple mathematical theorems.,-
3,1,,,,-,Introduction and Propositional Logic,-,Introduction and Propositional Logic,-,Understanding,-,"An overview of propositional logic, which deals with propositions or statements that are either true or false.",-
3,1,1,,,-,Propositional Logic,-,Introduction and Propositional Logic,-,Understanding,-,"The formal system of logic that represents propositions using variables and logical connectives such as AND, OR, and NOT.",-
3,1,2,,,-,Propositional Equivalences,-,Introduction and Propositional Logic,-,Understanding,-,Rules and principles that determine when two propositional expressions are logically equivalent.,-
3,1,3,,,-,Proofs and Inferences,-,Introduction and Propositional Logic,-,Understanding,-,"Methods for demonstrating the validity of propositional statements, often using logical rules and inference techniques.",-
3,1,3,1,,-,Natural Deduction,-,Introduction and Propositional Logic,-,Understanding,-,A method of reasoning in propositional logic that involves deriving conclusions from premises using inference rules.,-
3,1,4,,,-,Tableau,-,Introduction and Propositional Logic,-,Understanding,-,A proof technique in which the truth of a proposition is systematically explored by constructing a tree-like structure.,-
3,1,5,,,-,Informal Proofs,-,Introduction and Propositional Logic,-,Understanding,-,"Proofs that use natural language and intuitive reasoning to demonstrate the validity of propositions, often found in everyday discourse and mathematical exposition.",-
3,2,,,,-,Recursion,-,Recursion,-,Understanding,-,"A programming technique where a function calls itself in order to solve problems that can be broken down into smaller, similar subproblems.",-
3,2,1,,,-,Proofs over Formulae,-,Recursion,-,Understanding,-,Demonstrating the correctness or properties of mathematical formulae through deductive reasoning and logical inference.,-
3,2,2,,,-,Recursive Definitions,-,Recursion,-,Understanding,-,"Definitions that refer to themselves in their own definition, often used to define mathematical structures or functions.",-
3,2,3,,,-,The Natural Numbers,-,Recursion,-,Understanding,-,"The set of positive integers starting from 1, often denoted as ℕ",-
3,2,4,,,-,More Complex Recursive Definitions,-,Recursion,-,Understanding,-,"Recursive definitions that involve multiple base cases or conditions, leading to more intricate structures or behaviors.",-
3,2,5,,,-,Recursive Algoritms,-,Recursion,-,Understanding,-,Algorithms that solve problems by breaking them down into smaller instances of the same problem until a base case is reached.,-
3,3,,,,-,Predicate Logic,-,Predicate Logic,-,Understanding,-,,-
3,3,1,,,-,Predicates and Quantifiers,-,Predicate Logic,-,Understanding,-,"Predicate logic extends propositional logic by introducing predicates, which are functions that map objects to truth values, and quantifiers,",-
3,3,2,,,-,Nested Quantifiers,-,Predicate Logic,-,Understanding,-,"Nested Quantifiers: In predicate logic, quantifiers can be nested within each other to express statements about relationships between multiple variables or objects.",-
3,4,,,,-,Proofs in First Order Logic,-,Proofs in First Order Logic,-,Understanding,-,"Proofs in First Order Logic: First-order logic allows for the formal proof of statements using rules of inference and axioms, with the aim of establishing the truth of universally quantified statements.",-
3,4,1,,,-,Natural Deduction for Predicate Logic,-,Proofs in First Order Logic,-,Understanding,-,"Natural Deduction for Predicate Logic: Natural deduction is a method for proving the validity of logical formulas by constructing proofs using inference rules and axioms, tailored for predicate logic to handle quantifiers and predicates.",-
3,4,2,,,-,Informal Proofs for Predicate Logic,-,Proofs in First Order Logic,-,Understanding,-,"Informal Proofs for Predicate Logic: Informal proofs provide a less formal but intuitive way to establish the truth of statements in predicate logic, often relying on reasoning techniques and examples to illustrate logical relationships.",-
