courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
3,,,,,-,Discrete Math,-,Course,-,Understand,-,,-
3,0,,,,-,Objective,-,Course objective,-,Understand,-,,-
3,0,1,,,-,Obj1,-,Course objective,-,Understand,-,"Students can explain what an argument is, what it looks like, what it means for an argument to be logically valid, and the relationship between logical validity, evidence, and counterexamples.",-
3,0,2,,,-,Obj2,-,Course objective,-,Understand,-,Students can use formal calculi to find proofs and perform calculations.,-
3,0,3,,,-,Obj3,-,Course objective,-,Understand,-,Students can analyze given models using mathematical means.,-
3,0,4,,,-,Obj4,-,Course objective,-,Understand,-,Students can determine whether a proof is valid.,-
3,0,5,,,-,Obj5,-,Course objective,-,Understand,-,Students can model situations and properties using mathematical tools.,-
3,0,6,,,,Obj6,,Course objective,-,Understand,-,Students can independently prove simple mathematical theorems.,-
3,1,,,,-,Introduction and Propositional Logic,-,Introduction and Propositional Logic,-,Understand,-,"An overview of propositional logic, which deals with propositions or statements that are either true or false.",-
3,1,1,,,-,Propositional Logic,-,Introduction and Propositional Logic,-,Understand,-,"The formal system of logic that represents propositions using variables and logical connectives such as AND, OR, and NOT.",-
3,1,2,,,-,Propositional Equivalences,-,Introduction and Propositional Logic,-,Understand,-,Rules and principles that determine when two propositional expressions are logically equivalent.,-
3,1,3,,,-,Proofs and Inferences,-,Introduction and Propositional Logic,-,Understand,-,"Methods for demonstrating the validity of propositional statements, often using logical rules and inference techniques.",-
3,1,3,1,,-,Natural Deduction,-,Introduction and Propositional Logic,-,Understand,-,A method of reasoning in propositional logic that involves deriving conclusions from premises using inference rules.,-
3,1,4,,,-,Tableau,-,Introduction and Propositional Logic,-,Understand,-,A proof technique in which the truth of a proposition is systematically explored by constructing a tree-like structure.,-
3,1,5,,,-,Informal Proofs,-,Introduction and Propositional Logic,-,Understand,-,"Proofs that use natural language and intuitive reasoning to demonstrate the validity of propositions, often found in everyday discourse and mathematical exposition.",-
3,2,,,,-,Recursion,-,Recursion,-,Understand,-,"A programming technique where a function calls itself in order to solve problems that can be broken down into smaller, similar subproblems.",-
3,2,1,,,-,Proofs over Formulae,-,Recursion,-,Understand,-,Demonstrating the correctness or properties of mathematical formulae through deductive reasoning and logical inference.,-
3,2,2,,,-,Recursive Definitions,-,Recursion,-,Understand,-,"Definitions that refer to themselves in their own definition, often used to define mathematical structures or functions.",-
3,2,3,,,-,The Natural Numbers,-,Recursion,-,Understand,-,"The set of positive integers starting from 1, often denoted as ℕ",-
3,2,4,,,-,More Complex Recursive Definitions,-,Recursion,-,Understand,-,"Recursive definitions that involve multiple base cases or conditions, leading to more intricate structures or behaviors.",-
3,2,5,,,-,Recursive Algoritms,-,Recursion,-,Understand,-,Algorithms that solve problems by breaking them down into smaller instances of the same problem until a base case is reached.,-
3,3,,,,-,Predicate Logic,-,Predicate Logic,-,Understand,-,,-
3,3,1,,,-,Predicates and Quantifiers,-,Predicate Logic,-,Understand,-,"Predicate logic extends propositional logic by introducing predicates, which are functions that map objects to truth values, and quantifiers,",-
3,3,2,,,-,Nested Quantifiers,-,Predicate Logic,-,Understand,-,"Nested Quantifiers: In predicate logic, quantifiers can be nested within each other to express statements about relationships between multiple variables or objects.",-
3,4,,,,-,Proofs in First Order Logic,-,Proofs in First Order Logic,-,Understand,-,"Proofs in First Order Logic: First-order logic allows for the formal proof of statements using rules of inference and axioms, with the aim of establishing the truth of universally quantified statements.",-
3,4,1,,,-,Natural Deduction for Predicate Logic,-,Proofs in First Order Logic,-,Understand,-,"Natural Deduction for Predicate Logic: Natural deduction is a method for proving the validity of logical formulas by constructing proofs using inference rules and axioms, tailored for predicate logic to handle quantifiers and predicates.",-
3,4,2,,,-,Informal Proofs for Predicate Logic,-,Proofs in First Order Logic,-,Understand,-,"Informal Proofs for Predicate Logic: Informal proofs provide a less formal but intuitive way to establish the truth of statements in predicate logic, often relying on reasoning techniques and examples to illustrate logical relationships.",-
3,4,3,,,-,Mathematical Induction,-,Proofs in First Order Logic,-,Understand,-,"Mathematical Induction: Mathematical induction is a proof technique used to establish the truth of statements about natural numbers by proving a base case and then showing that if the statement holds for one natural number, it also holds for the next.",-
3,4,4,,,-,Strong Induction,-,Proofs in First Order Logic,-,Understand,-,"Strong Induction: Strong induction is a variant of mathematical induction that allows the assumption that the statement holds for all previous natural numbers up to a given value, rather than just the immediately preceding number.",-
3,5,,,,-,Set Theory,-,Set Theory,-,Understand,-,,-
3,5,1,,,-,Sets,-,Set Theory,-,Understand,-,"Sets: Sets are collections of distinct objects, considered as a single entity. They are fundamental in mathematics and used to represent groups of elements with common properties.",-
3,5,2,,,-,Operations with Sets,-,Set Theory,-,Understand,-,"Operations with Sets: Sets can undergo various operations, including union, intersection, difference, and complement, allowing for manipulation and comparison of sets.",-
3,5,3,,,-,Relations,-,Set Theory,-,Understand,-,Relations: Relations are associations between elements of sets. They can be represented as sets of ordered pairs and are used to describe connections or interactions between objects.,-
3,5,4,,,-,Equivalence Relations,-,Set Theory,-,Understand,-,"Equivalence Relations: Equivalence relations are a special type of relation that satisfy three properties: reflexivity, symmetry, and transitivity. They partition a set into disjoint subsets called equivalence classes.",-
3,5,5,,,-,Functions,-,Set Theory,-,Understand,-,Functions: Functions are mathematical constructs that relate elements of one set (the domain) to elements of another set (the codomain). They assign exactly one output to each input and are essential for modeling relationships between objects.,-
3,5,6,,,-,Cardinality of sets,-,Set Theory,-,Understand,-,"Cardinality of Sets: The cardinality of a set is the measure of its size, representing the number of elements it contains. It can be finite or infinite, and different techniques, such as counting and bijections, are used to determine cardinality.",-
3,6,,,,-,Algebra,-,Algebra,-,Understand,-,,-
3,6,1,,,-,Groups,-,Algebra,-,Understand,-,"Groups: Groups are algebraic structures consisting of a set together with a binary operation that satisfies four properties: closure, associativity, identity element, and invertibility.",-
3,6,1,1,,-,Subgroups,-,Algebra,-,Understand,-,Subgroups: Subgroups are subsets of a group that form a group themselves under the same binary operation.,-
3,6,2,,,-,Morphisms,-,Algebra,-,Understand,-,Morphisms: Morphisms are structure-preserving mappings between algebraic structures.,-
3,6,3,,,-,Multiplicative Groups,-,Algebra,-,Understand,-,Multiplicative Groups: Multiplicative groups arise from certain sets of elements equipped with multiplication as the binary operation.,-
3,6,3,1,,-,RSA,-,Algebra,-,Understand,-,RSA (Rivest-Shamir-Adleman) is a widely used public-key encryption algorithm based on the difficulty of factoring large prime numbers.,-
3,6,4,,,-,Other Results of Group and Field Theory,-,Algebra,-,Understand,-,"Group and field theory yield various important results and theorems, including Lagrange's theorem, which relates the order of a subgroup to the order of the parent group, and the fundamental theorem of finite abelian groups",-
3,7,,,,-,Combinatorics,-,Combinatorics,-,Understand,-,,-
3,7,1,,,-,The Basics of Counting,-,Combinatorics,-,Understand,-,"The Basics of Counting: Combinatorics deals with counting, arranging, and choosing objects. It includes fundamental concepts such as permutations, combinations, and the principle of inclusion-exclusion.",-
3,7,2,,,-,Permutations and Combinations,-,Combinatorics,-,Understand,-,"Permutations and Combinations: Permutations are arrangements of objects in a specific order, while combinations are selections of objects without considering the order.",-
